Language	OmniVoice_ID	ISO_639_3	Duration_h
Abadi	kbt	kbt	9.73
Abkhazian	abk	abk	57.27
Abron	abr	abr	9.22
Abua	abn	abn	10.27
Acehnese	ace	ace	32.10
Acholi	ach	ach	32.50
Adamawa Fulfulde	fub	fub	13.12
Adyghe	ady	ady	32.60
Afade	aal	aal	10.19
Afar	aar	aar	32.20
Afrikaans	afr	afr	4.40
Agwagwune	yay	yay	8.26
Aja (Benin)	ajg	ajg	5.63
Akebu	keu	keu	9.10
Alago	ala	ala	11.04
Albanian	sqi	sqi	8.59
Algerian Arabic	arq	arq	9.64
Algerian Saharan Arabic	aao	aao	2.02
Ambo-Pasco Quechua	qva	qva	9.59
Ambonese Malay	abs	abs	10.03
Amdo Tibetan	adx	adx	56.94
Amharic	amh	amh	12.83
Anaang	anw	anw	9.65
Angika	anp	anp	10.65
Antankarana Malagasy	xmv	xmv	17.90
Arabic (Standard)	arb	arb	1483.53
Aragonese	arg	arg	16.40
Arbëreshë Albanian	aae	aae	6.11
Arequipa-La Unión Quechua	qxu	qxu	10.12
Armenian	hye	hye	42.15
Ashe	ahs	ahs	10.62
Ashéninka Perené	prq	prq	7.16
Askopan	eiv	eiv	10.44
Assamese	asm	asm	270.85
Asturian	ast	ast	8.48
Atayal	tay	tay	7.02
Awak	awo	awo	10.22
Ayacucho Quechua	quy	quy	0.05
Aymara	aym	aym	18.70
Azerbaijani	aze	aze	9.84
Baatonum	bba	bba	10.53
Bacama	bcy	bcy	9.94
Bade	bde	bde	9.89
Bafia	ksf	ksf	16.43
Bafut	bfd	bfd	9.03
Bagirmi Fulfulde	fui	fui	15.04
Bago-Kusuntu	bqg	bqg	8.86
Baharna Arabic	abv	abv	10.41
Bakoko	bkh	bkh	6.00
Balanta-Ganja	bjt	bjt	9.41
Balinese	ban	ban	31.80
Balti	bft	bft	16.28
Bambara	bam	bam	45.20
Bamenyam	bce	bce	9.90
Bamun	bax	bax	10.24
Bangwinji	bsj	bsj	10.00
Banjar	bjn	bjn	11.68
Bankon	abb	abb	11.20
Baoulé	bci	bci	10.21
Bara Malagasy	bhr	bhr	12.14
Barok	bjk	bjk	10.16
Basa (Cameroon)	bas	bas	10.66
Basa (Nigeria)	bzw	bzw	10.27
Bashkir	bak	bak	249.10
Basque	eus	eus	479.86
Batak Mandailing	btm	btm	11.09
Batanga	bnm	bnm	15.01
Bateri	btv	btv	9.80
Bats	bbl	bbl	11.22
Bayot	bda	bda	9.47
Bebele	beb	beb	7.52
Belarusian	bel	bel	1809.43
Bengali	ben	ben	271.76
Betawi	bew	bew	11.15
Bhili	bhb	bhb	9.98
Bhojpuri	bho	bho	10.05
Bilur	bxf	bxf	10.84
Bima	bhp	bhp	10.67
Bislama	bis	bis	2.80
Bodo	brx	brx	231.57
Boghom	bux	bux	10.48
Bokyi	bky	bky	9.85
Bomu	bmq	bmq	10.68
Bondei	bou	bou	9.98
Borgu Fulfulde	fue	fue	20.10
Bosnian	bos	bos	690.73
Brahui	brh	brh	19.89
Braj	bra	bra	10.68
Breton	bre	bre	25.48
Buduma	bdm	bdm	10.17
Buginese	bug	bug	11.09
Bukharic	bhh	bhh	11.38
Bulgarian	bul	bul	2190.76
Bulu (Cameroon)	bum	bum	9.06
Bundeli	bns	bns	10.88
Bunun	bnn	bnn	9.26
Bura-Pabir	bwr	bwr	10.40
Burak	bys	bys	9.92
Burmese	mya	mya	12.14
Burushaski	bsk	bsk	9.14
Cacaloxtepec Mixtec	miu	miu	9.18
Cajatambo North Lima Quechua	qvl	qvl	9.95
Cakfem-Mushere	cky	cky	8.96
Cameroon Pidgin	wes	wes	10.06
Campidanese Sardinian	sro	sro	10.16
Cantonese	yue	yue	13302.38
Catalan	cat	cat	3358.60
Cebuano	ceb	ceb	12.17
Cen	cen	cen	9.85
Central Kurdish	ckb	ckb	137.52
Central Nahuatl	nhn	nhn	9.51
Central Pame	pbs	pbs	9.69
Central Pashto	pst	pst	11.40
Central Puebla Nahuatl	ncx	ncx	9.86
Central Tarahumara	tar	tar	9.73
Central Yupik	esu	esu	2.18
Central-Eastern Niger Fulfulde	fuq	fuq	9.28
Chadian Arabic	shu	shu	2.29
Chechen	che	che	14.20
Cherokee	chr	chr	6.50
Chichewa	nya	nya	10.80
Chichicapan Zapotec	zpv	zpv	9.85
Chiga	cgg	cgg	10.84
Chimalapa Zoque	zoh	zoh	9.35
Chimborazo Highland Quichua	qug	qug	10.12
Chinese (Mandarin)	cmn	cmn	111343.30
Chiquián Ancash Quechua	qxa	qxa	9.99
Chitwania Tharu	the	the	10.06
Chokwe	cjk	cjk	11.01
Chuvash	chv	chv	23.96
Cibak	ckl	ckl	10.91
Coastal Konjo	kjc	kjc	10.18
Copainalá Zoque	zoc	zoc	10.07
Coptic	cop	cop	0.80
Cornish	cor	cor	12.15
Corongo Ancash Quechua	qwa	qwa	9.72
Corsican	cos	cos	15.30
Cree	cre	cre	12.40
Croatian	hrv	hrv	2795.31
Cross River Mbembe	mfn	mfn	10.03
Cuyamecalco Mixtec	xtu	xtu	9.40
Czech	ces	ces	148.13
Dadiya	dbd	dbd	9.61
Dagbani	dag	dag	10.14
Dameli	dml	dml	9.18
Danish	dan	dan	1665.98
Dargwa	dar	dar	1.22
Dari	prs	prs	52.10
Dazaga	dzg	dzg	9.96
Deccan	dcc	dcc	10.38
Degema	deg	deg	11.07
Dera (Nigeria)	kna	kna	11.91
Dghwede	dgh	dgh	9.95
Dhatki	mki	mki	8.83
Dhivehi	div	div	38.61
Dhofari Arabic	adf	adf	0.31
Dholuo	luo	luo	36.17
Dijim-Bwilim	cfa	cfa	10.32
Dogri	dgo	dgo	117.04
Domaaki	dmk	dmk	6.38
Dotyali	dty	dty	10.85
Duala	dua	dua	12.13
Dutch	nld	nld	2264.13
Dũya	ldb	ldb	11.31
Dyula	dyu	dyu	0.34
Dzongkha	dzo	dzo	4.20
Eastern Balochi	bgp	bgp	10.98
Eastern Bolivian Guaraní	gui	gui	22.72
Eastern Egyptian Bedawi Arabic	avl	avl	1.86
Eastern Krahn	kqo	kqo	9.28
Eastern Mari	mhr	mhr	272.31
Eastern Yiddish	ydd	ydd	18.43
Ebrié	ebr	ebr	1.50
Eggon	ego	ego	9.95
Egyptian Arabic	arz	arz	23.23
Ejagham	etu	etu	10.30
Eleme	elm	elm	11.27
Eloyi	afo	afo	11.21
Embu	ebu	ebu	9.81
English	eng	eng	206061.10
Erzya	myv	myv	3.10
Esan	ish	ish	10.05
Esperanto	epo	epo	1396.64
Estonian	est	est	960.37
Eton (Cameroon)	eto	eto	7.43
Ewe	ewe	ewe	22.40
Ewondo	ewo	ewo	12.71
Extremaduran	ext	ext	13.59
Fang (Equatorial Guinea)	fan	fan	3.51
Fanti	fat	fat	11.38
Farefare	gur	gur	9.24
Faroese	fao	fao	12.30
Fe'fe'	fmp	fmp	9.86
Fijian	fij	fij	3.80
